,,,,,,,,,,,,,
Everything,,,,,First hour,,,,,Last Hour,,,
,,,,,,,,,,,,,
1,209,209,19141.970317486,,2,12,24,8.79E+002,,5,3,15,57.2075935753
2,44,88,3231.7125122971,,3,161,483,9.20E+003,,6,51,306,1836
3,284,852,16275.3721914422,,4,532,2128,2.29E+004,,7,107,749,5243
4,1111,4444,47958.854167966,,5,2541,12705,7.86E+004,,8,137,1096,8768
5,5031,25155,156096.446584432,,6,17900,107400,3.72E+005,,9,228,2052,18468
6,34181,205086,713923.483991135,,7,123069,861483,1.56E+006,,10,258,2580,25800
7,223934,1567538,2854306.7076037,,8,526416,4211328,3.45E+006,,11,137,1507,16577
8,932377,7459016,6159126.89762259,,9,1256886,11311974,3.06E+006,,12,74,888,10656
9,2213182,19918638,5456533.98317168,,10,1763714,17637140,5.55E+005,,13,19,247,3211
10,3114686,31146860,1012606.18877668,,11,1624929,17874219,3.13E+005,,14,9,126,1764
11,2882940,31712340,532605.601629759,,12,1097374,13168488,2.27E+006,,15,1,15,225
12,1960733,23528796,4008484.95035638,,13,561799,7303387,3.34E+006,,20,1,20,400
13,1016043,13208559,5998735.90110317,,14,213756,2992584,2.53E+006,,,1025,9601,9.30E+004
14,389184,5448576,4578226.17626015,,15,65388,980820,1.29E+006,,,,9.3668292683,9.6870333917
15,118334,1775010,2322102.58594983,,16,18377,294032,5.44E+005,,,,,3.1123999408
16,33169,530704,977919.255394385,,17,5161,87737,2.14E+005,,,,,
17,9315,158355,385105.996865266,,18,1512,27216,8.37E+004,,,,,
18,2786,50148,153793.335707917,,19,437,8303,3.11E+004,,,,,
19,834,15846,59265.5739380339,,20,135,2700,1.20E+004,,,,,
20,289,5780,25698.3066138636,,21,55,1155,5.99E+003,,,,,
21,112,2352,12183.4846661741,,22,19,418,2.49E+003,,,,,
22,43,946,5617.5522503931,,23,14,322,2.17E+003,,0.0782594968,,,
23,21,483,3244.5081254763,,24,4,96,7.22E+002,,,,,
24,5,120,901.8001192287,,25,2,50,4.17E+002,,,,,
25,2,50,416.4393215281,,26,1,26,2.38E+002,,,,,
26,1,26,238.0792976823,,27,1,27,2.70E+002,,,,,
27,1,27,269.9389346006,,,7280195,76886245,1.98E+007,,,,,
,12938851,136766004,35504011.1034733,,,,10.5610145058,2.7136127891,,,,,
Mean,,10.5701815408,2.7439848487,,,,,1.6473047044,,,,,
,,,1.656497766,,,,,,,,,,
